Account ID,GSGM Key,Time,schoolCode,District ID,Unsdlea,Geoid,DistrictGeo,District,SchoolID,School,Transition,School Type,Category,Charter Type,IB Program,Chronically Failing,Greatest Gains Award,Highest Performing Award,Grade Range,Address,City,County,FIPS County Code,STATE,ZIP,Latitude,Longitude,Principal First Name,Principal Last Name,Principal,Email Address,Phone,College & Career Academy,Energy Pathway,STEM Certified,Learning Power Territory,Learning Power Coordinator,Learning Power Email,Coordinator Business Phone,Coordinator Cell Phone,Locale Code*,Locale*,Title I School*,GPC Customer,Workforce Development Region,Local Workforce Development Authority,CD Manager
S213,7410207,Old,207741,741,1,1300001,Troup County,Troup County,207,Bradfield Center - Ault Academy,,High,Traditional,,No IB,No,No,No,06-12,1022 E Depot St ,Lagrange,"Troup, GA",13285,GA,30241,33.035841,-85.018131,,, ,jbrewer@twincedars.old,706.884.1717,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,32,Town: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S291,7410201,Old,201741,741,1,1300001,Troup County,Troup County,201,Callaway High School,,High,Traditional,,No IB,No,No,No,09-12,221 Whitfield Rd,Hogansville,"Troup, GA",13285,GA,30230,33.084982,-84.980392,Jonathan,Laney,Jonathan Laney,laneyjc@troup.org,706.845.2070,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,41,Rural: Fringe,No,No,Three Rivers,Three Rivers,Jim Lovett
S1127,7411052,Old,1052741,741,1,1300001,Troup County,Troup County,1052,LaGrange High School,,High,Traditional,,No IB,No,No,No,09-12,516 N Greenwood St,Lagrange,"Troup, GA",13285,GA,30240,33.046366,-85.03408,William,"White, JR","William White, JR",,706.883.1590,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,32,Town: Distant,No,No,Three Rivers,Three Rivers,Jim Lovett
S2037,,Old,499741,741,1,1300001,Troup County,Troup County,499,Thinc College & Career Academy,,High,Charter,Start-up,No IB,No,No,No,09-12,One College Circle,Lagrange,"Troup, GA",13286,GA,30240,32.999926,-85.045478,Chris,Williams,Chris Williams,,706.668.6800,Yes,Yes,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,42,Rural: Distant,No,No,Three Rivers,Three Rivers,Jim Lovett
S2077,7410387,Old,387741,741,1,1300001,Troup County,Troup County,387,Troup County High School,,High,Traditional,,No IB,No,No,No,09-12,1920 Hamilton Rd ,Lagrange,"Troup, GA",13285,GA,30241,33.00105,-85.01629,Dennis,Medders,Dennis Medders,meddersdl@troup.org,706.812.7957,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,32,Town: Distant,No,No,Three Rivers,Three Rivers,Jim Lovett
S292,7410204,Old,204741,741,1,1300001,Troup County,Troup County,204,Callaway Middle School,,Middle,Traditional,,No IB,No,No,No,06-08,2244 Hammett Rd,Lagrange,"Troup, GA",13285,GA,30241,33.087944,-84.985422,Melissa,Trimeloni,Melissa Trimeloni,trimelonime@troup.org,706.845.2080,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,42,Rural: Distant,No,No,Three Rivers,Three Rivers,Jim Lovett
S772,7410191,Old,191741,741,1,1300001,Troup County,Troup County,191,Gardner-Newman Middle School,,Middle,Traditional,,No IB,No,No,No,06-08,101 S Shannon Dr,Lagrange,"Troup, GA",13285,GA,30241,33.068162,-84.984504,Derek,Pitts,Derek Pitts,pittsdg@troup.org,706.883.1535,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,32,Town: Distant,No,No,Three Rivers,Three Rivers,Jim Lovett
S1234,7410297,Old,297741,741,1,1300001,Troup County,Troup County,297,Long Cane Middle School,,Middle,Traditional,,No IB,No,No,No,06-08,326 Long Cane Rd,Lagrange,"Troup, GA",13285,GA,30240,32.95899,-85.126353,Chip,Giles,Chip Giles,gilesh@troup.org,706.845.2085,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,42,Rural: Distant,No,No,Three Rivers,Three Rivers,Jim Lovett
S32,6011050,Old,1050601,601,60,1300060,Appling County,Appling County,1050,Altamaha Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,344 Altamaha School Rd,Baxley,"Appling, GA",13001,GA,31513,31.875661,-82.365239,Rhonda,Hollis,Rhonda Hollis,rhonda.hollis@appling.k12.ga.us,912.367.3713,No,No,No,Coastal South,Crystal Godfrey,crgodfre@southernco.com,229.241.2219,229.506.0713,42,Rural: Distant,Yes,Yes,Heart of Georgia Altamaha,Heart of Georgia Altamaha,Jason Coley
S50,6010177,Old,177601,601,60,1300060,Appling County,Appling County,177,Appling County Elementary School,,Elementary,Traditional,,No IB,No,No,No,03-05,680 Blackshear Hwy ,Baxley,"Appling, GA",13001,GA,31513,31.754824,-82.354584,Debra,Crosby,Debra Crosby,debra.crosby@appling.k12.ga.us,912.367.8640,No,No,No,Coastal South,Crystal Godfrey,crgodfre@southernco.com,229.241.2219,229.506.0713,33,Town: Remote,Yes,Yes,Heart of Georgia Altamaha,Heart of Georgia Altamaha,Jason Coley
S53,,Old,277601,601,60,1300060,Appling County,Appling County,277,Appling County Primary School,,Elementary,Traditional,,No IB,No,No,No,PK-02,678 Blackshear Hwy ,Baxley,"Appling, GA",13001,GA,31513,31.746224,-82.349209,Cindy,Stewart,Cindy Stewart,cindy.stewart@appling.k12.ga.us,912.367.8642,No,No,No,Coastal South,Crystal Godfrey,crgodfre@southernco.com,229.241.2219,229.506.0713,33,Town: Remote,Yes,Yes,Heart of Georgia Altamaha,Heart of Georgia Altamaha,Jason Coley
S741,6015050,Old,5050601,601,60,1300060,Appling County,Appling County,5050,Fourth District Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,13396 Blackshear Hwy,Surrency,"Appling, GA",13001,GA,31563,31.611844,-82.247974,Greg,Williams,Greg Williams,greg.williams@appling.k12.ga.us,912.367.3250,No,No,No,Coastal South,Crystal Godfrey,crgodfre@southernco.com,229.241.2219,229.506.0713,43,Rural: Remote,Yes,Yes,Heart of Georgia Altamaha,Heart of Georgia Altamaha,Jason Coley
S51,6010103,Old,103601,601,60,1300060,Appling County,Appling County,103,Appling County High School,,High,Traditional,,No IB,No,No,No,09-12,482 Blackshear Hwy,Baxley,"Appling, GA",13001,GA,31513,31.757758,-82.354021,Gene,Starr,Gene Starr,gstarr@appling.k12.ga.us,912.367.8610,No,No,No,Coastal South,Crystal Godfrey,crgodfre@southernco.com,229.241.2219,229.506.0713,33,Town: Remote,No,Yes,Heart of Georgia Altamaha,Heart of Georgia Altamaha,Jason Coley
S52,6010195,Old,195601,601,60,1300060,Appling County,Appling County,195,Appling County Middle School,,Middle,Traditional,,No IB,No,No,No,06-08,2997 Blackshear Hwy,Baxley,"Appling, GA",13001,GA,31513,31.723121,-82.33976,Cathy,Campbell,Cathy Campbell,Cathy.Campbell@appling.k12.ga.us,912.367.8630,No,No,No,Coastal South,Crystal Godfrey,crgodfre@southernco.com,229.241.2219,229.506.0713,41,Rural: Fringe,Yes,Yes,Heart of Georgia Altamaha,Heart of Georgia Altamaha,Jason Coley
S1608,6020190,Old,190602,602,90,1300090,Atkinson County,Atkinson County,190,Pearson Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,563 King St N ,Pearson,"Atkinson, GA",13003,GA,31642,31.300402,-82.852775,Paul,Daniel,Jarred Morris,,912.422.3882,No,No,No,South,Denise James,shjames@southernco.com,,,43,Rural: Remote,Yes,Yes,Southern Georgia,Southern Georgia,Jason Coley
S2253,6020187,Old,187602,602,90,1300090,Atkinson County,Atkinson County,187,Willacoochee Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,430 Vickers St S,Willacoochee,"Atkinson, GA",13003,GA,31650,31.33801,-83.050061,Susan,Garrity,Susan Garrity,sgarrity@atkinson.k12.ga.us,912.534.5302,No,No,No,South,Denise James,shjames@southernco.com,,,42,Rural: Distant,Yes,Yes,Southern Georgia,Southern Georgia,Jason Coley
S75,6020103,Old,103602,602,90,1300090,Atkinson County,Atkinson County,103,Atkinson County High School,,High,Traditional,,No IB,No,No,No,09-12,145 Rebel Ln,Pearson,"Atkinson, GA",13003,GA,31642,31.321205,-82.849879,Shane,Miller,Shane Miller,smiller@atkinson.k12.ga.us,912.422.3267,No,No,No,South,Denise James,shjames@southernco.com,,,43,Rural: Remote,Yes,Yes,Southern Georgia,Southern Georgia,Jason Coley
S76,6020111,Old,111602,602,90,1300090,Atkinson County,Atkinson County,111,Atkinson County Middle School,,Middle,Traditional,,No IB,No,No,No,06-08,145 Rebel Ln,Pearson,"Atkinson, GA",13003,GA,31642,31.320905,-82.849879,Anthony,Davis,Anthony Davis,adavis@atkinson.k12.ga.us,912.422.3267,No,No,No,South,Denise James,shjames@southernco.com,,,43,Rural: Remote,Yes,Yes,Southern Georgia,Southern Georgia,Jason Coley
S13,,Old,413761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,413,Adamsville Primary School,Closed,Elementary,Traditional,,No IB,No,No,No,PK-02,286 Wilson Mill Rd SW,Atlanta,"Fulton, GA",13121,GA,30331,33.754786,-84.513546,Isis,Manboard,Isis Manboard,imanboard@atlanta.k12.ga.us,404.802.4300,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S81,7610415,Old,415761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,415,Atlanta Classical Academy,,Elementary,Charter,Start-up,No IB,No,No,No,KK-10,3260 Northside Dr NW,Atlanta,"Fulton, GA",13121,GA,30305,33.843503,-84.407871,Terrence,Moore,Stephen Lambert,slambert@atlantaclassical.org,404.369.3500,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,No,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S83,7830410,Old,4107830410,7830410,120,1300120,Atlanta Public Schools,Commission Charter Schools- Atlanta Heights Charter School,410,Atlanta Heights Charter School,,Elementary,Charter,State Charter,No IB,Yes,No,No,KK-08,3670 Martin Luther King Jr Dr SW,Atlanta,"Fulton, GA",13120,GA,30331,33.762289,-84.508337,Nicole,Bullen,Nicole Bullen,,404.472.3003,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,41,Rural: Fringe,No,No,Atlanta Regional Commission,Fulton,Steve Foster
S84,7610505,Old,505761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,505,Atlanta Neighborhood Charter - Elementary,,Elementary,Charter,Start-up,No IB,No,No,No,KK-05,688 Grant St SE,Atlanta,"Fulton, GA",13121,GA,30315,33.735809,-84.37637,Lara,Zelski,Lara Zelski,lzelski@neighborhoodcharter.com,404.624.6226,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,No,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S509,7615066,Old,5066761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,Formerly D.H. Stanton,Elementary,Traditional,,No IB,No,No,No,PK-05,970 Martin St SE,Atlanta,"Fulton, GA",13121,GA,30315,33.727949,-84.383251,Robin ,Robbins,Robin Christian ,Robin.Christian@atlanta.k12.ga.us,404.802.4200,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S139,7610604,Old,604761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,631 Harwell Rd NW,Atlanta,"Fulton, GA",13121,GA,30318,33.772625,-84.493977,Gregory,Parks,Jerry Parker,jparker@atlanta.k12.ga.us,404.802.5700,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S146,7613051,Old,3051761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,3051,Beecher Hills Elementary School,,Elementary,Traditional,,IB,No,No,No,PK-05,2257 Bolling Brook Dr SW,Atlanta,"Fulton, GA",13121,GA,30311,33.735588,-84.46359,Crystal,Jones,Crystal Jones,clmjones@atlanta.k12.ga.us,404.802.8300,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S155,7615051,Old,5051761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,5051,Benteen Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,200 Cassanova St SE,Atlanta,"Fulton, GA",13121,GA,30315,33.716318,-84.364603,Andrew,Lovett,Andrew Lovett,ajlovett@atlanta.k12.ga.us,404.802.7300,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S202,7610303,Old,303761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,303,Bolton Academy,,Elementary,Traditional,,IB,No,No,No,PK-05,2268 Adams Dr NW ,Atlanta,"Fulton, GA",13121,GA,30318,33.817302,-84.455579,Laura,Strickling,Laura Strickling,lstrickling@atlanta.k12.ga.us,404.802.8350,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S211,7611053,Old,1053761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,1053,Boyd Elementary School,,Elementary,Traditional,,No IB,Yes,No,No,PK-05,1891 Johnson Rd NW,Atlanta,"Fulton, GA",13121,GA,30318,33.785718,-84.449223,Marcus,Jackson,Joi Kilpatrick,joi.kilpatrick@atlanta.k12.ga.us,404.802.8150,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S217,7612053,Old,2053761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,2053,Brandon Elementary School,,Elementary,Traditional,,IB,No,No,Yes,KK-05,2741 Howell Mill Rd NW,Atlanta,"Fulton, GA",13121,GA,30327,33.829693,-84.416281,Kara,Stimpson,Kara Stimpson,kmstimpson@atlanta.k12.ga.us,404.802.7250,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,No,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S264,7610305,Old,305761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,305,Burgess-Peterson Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,480 Clifton St SE,Atlanta,"Fulton, GA",13121,GA,30316,33.740575,-84.331578,David,White,David White,dwhite@atlanta.k12.ga.us,404.802.3400,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S324,7610196,Old,196761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,196,Cascade Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,2326 Venetian Dr SW,Atlanta,"Fulton, GA",13121,GA,30311,33.718105,-84.465537,Sylvia,Hall,Sylvia Hall,syrhall@atlanta.k12.ga.us,404.802.8100,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S337,7610199,Old,199761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,199,Centennial Academy,,Elementary,Charter,Conversion,No IB,No,No,No,KK-08,531 Luckie St NW,Atlanta,"Fulton, GA",13121,GA,30313,33.769777,-84.39511,Carol,Santos,Carol Santos,csantos@centennialacademycharter.org,404.802.8550,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S361,7610201,Old,201761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,201,Charles R. Drew Charter School,,Elementary,Charter,Start-up,No IB,No,No,No,PK-05,301 E Lake Blvd SE,Atlanta,"Fulton, GA",13121,GA,30317,33.745621,-84.314838,Monishae,Oneill,Monishae Oneill,monisahe.oneill@drewcharterschool.org,404.687.0001,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S415,7614056,Old,4056761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,4056,Cleveland Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,2672 Old Hapeville Rd SW,Atlanta,"Fulton, GA",13121,GA,30315,33.682719,-84.392404,Anyee',Moreland,Anyee' Moreland,amoreland@atlanta.k12.ga.us,404.802.8400,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S458,7613057,Old,3057761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,3057,Continental Colony Elementary School,,Elementary,Traditional,,No IB,Yes,No,No,PK-05,3181 Hogan Rd SW,Atlanta,"Fulton, GA",13121,GA,30331,33.678641,-84.491681,Kristen,Vaughn,Kristen Vaughn,kristen.vaughn@atlanta.k12.ga.us,404.802.8000,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S539,7610304,Old,304761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,304,Deerwood Academy School,,Elementary,Traditional,,IB,No,No,No,PK-05,3070 Fairburn Rd SW,Atlanta,"Fulton, GA",13121,GA,30331,33.670177,-84.514231,Camisha,Perry,Camisha Perry,caperry@atlanta.k12.ga.us,404.802.3300,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S558,7610104,Old,104761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,104,Dobbs Elementary School ,,Elementary,Traditional,,No IB,No,No,No,PK-05,2025 Jonesboro Rd SE ,Atlanta,"Fulton, GA",13121,GA,30315,33.698284,-84.372382,Charnita,West,Charnita West,cvwest@atlanta.k12.ga.us,404.802.8050,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S590,7615558,Old,5558761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,5558,Dunbar Elementary School,,Elementary,Traditional,,No IB,Yes,No,No,KK-05,500 Whitehall Ter SW,Atlanta,"Fulton, GA",13121,GA,30312,33.741286,-84.401286,Karen,Brown-Collier,Karen Brown-Collier,kbcollier@atlanta.k12.ga.us,404.802.7950,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S691,7615566,Old,5566761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,5566,F. L. Stanton Elementary School,,Elementary,Traditional,,No IB,Yes,No,No,PK-05,1625 Martin Luther King Jr Dr NW,Atlanta,"Fulton, GA",13121,GA,30314,33.752064,-84.440221,Phyllis,Earls,Phyllis Earls,pearls@atlanta.k12.ga.us,404.802.7500,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S694,7613059,Old,3059761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,3059,Fain Elementary School,,Elementary,Traditional,,No IB,Yes,No,No,PK-05,101 Hemphill School Rd NW,Atlanta,"Fulton, GA",13121,GA,30331,33.758825,-84.500594,Desmond,Moore,Desmond Moore,Desmond.Moore@atlanta.k12.ga.us,404.802.8600,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S712,7613559,Old,3559761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,3559,Fickett Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,3935 Rux Rd SW ,Atlanta,"Fulton, GA",13121,GA,30331,33.697058,-84.517216,Cheryl,Twyman ,Cheryl Twyman ,ctwyman@atlanta.k12.ga.us,404.802.7850,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S714,7610105,Old,105761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,105,Finch Elementary,,Elementary,Traditional,,No IB,Yes,No,No,PK-05,1114 Avon Ave SW ,Atlanta,"Fulton, GA",13121,GA,30310,33.722247,-84.424712,Carol,Evans,Carol Evans,cbevans@atlanta.k12.ga.us,404.802.4000,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
S770,7611560,Old,1560761,761,120,1300120,Atlanta Public Schools,Atlanta Public Schools,1560,Garden Hills Elementary School,,Elementary,Traditional,,IB,No,No,No,PK-05,285 Sheridan Dr NE,Atlanta,"Fulton, GA",13121,GA,30305,33.832584,-84.380374,Stacey,Abbott,Stacey Abbott,stacey.abbott@atlanta.k12.ga.us,404.802.7800,No,No,No,Atlanta,Emily Matthews,ematthew@southernco.com,404.572.7731,678.480.8311,11,City: Large,Yes,Yes,Atlanta Regional Commission,Fulton,Steve Foster
